DRUG_NAME,TARGET,TARGET_PATHWAY,TCGA_DESC,GDSC_TISSUE_DESCRIPTOR_2,CANCER_TYPE_MATCHING_TCGA_LABEL,SITE,GDSC_TISSUE_DESCRIPTOR_1,AUC
camptothecin,top1,dna replication,mb,medulloblastoma,mb,central_nervous_system,nervous_system,0.93022
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.867348
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.821438
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.90505
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.84343
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.777806
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.891103
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.786658
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.777517
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.693915
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.803407
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.7719
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.888774
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.748266
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.841792
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.824085
camptothecin,top1,dna replication,unclassified,lung_nsclc_not specified,unable to classify,lung,lung_nsclc,0.9835
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.863243
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.922968
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.90013
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.687601
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.879493
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.936097
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.916035
camptothecin,top1,dna replication,unclassified,lung_nsclc_not specified,unable to classify,lung,lung_nsclc,0.974312
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.950028
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.968261
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.715237
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.790723
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.95567
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.923532
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.876136
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.663973
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.93433
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.846017
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.675757
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.942249
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.74094
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.797327
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.919813
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.544531
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.910254
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.738768
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.716138
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.968523
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.880633
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.623258
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.95309
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.918071
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.858228
camptothecin,top1,dna replication,meso,mesothelioma,meso,pleura,lung,0.846196
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.757838
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.890403
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.975567
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.869945
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.788549
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.899554
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.818071
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.665806
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.950956
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.840786
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.724761
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.85438
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.786512
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.870822
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.807248
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.740045
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.801782
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.854228
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.951427
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.806679
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.939734
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.820641
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.947372
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.830233
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.93215
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.801945
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.834178
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.983262
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.96905
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.992326
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.861208
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.768404
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.955345
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.872641
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.993497
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.88698
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.72932
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.867884
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.894111
camptothecin,top1,dna replication,unclassified,lung_nsclc_not specified,unable to classify,lung,lung_nsclc,0.954286
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.872193
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.764404
camptothecin,top1,dna replication,unclassified,lung_nsclc_not specified,unable to classify,lung,lung_nsclc,0.946527
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.746475
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.897751
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.929116
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.934735
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.701034
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.966676
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.729339
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.804604
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.674573
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.80502
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.947027
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.820552
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.778827
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.903043
